user,motif_type,peers,user_count,global_count
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x98fAa0ddC27caFA22ad69353228d8D8D6d7Be2F8', '0xE133b906915Ea963C04e5b467866d0a4894F82Cc')",3,3
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x29bbB92F7858d0A493D890711cABE5F0BCb90796', '0x98fAa0ddC27caFA22ad69353228d8D8D6d7Be2F8')",3,3
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x98fAa0ddC27caFA22ad69353228d8D8D6d7Be2F8', '0xD80C9F458362A018dc7732F4d823eeE6dfcf6ac3')",3,3
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x21582C6D02E71D38Bfdb4f88E59487c3102b9C1F', '0x805B31E510E8A423DD819f3F512CE2D2C22D5A4A')",3,3
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x21582C6D02E71D38Bfdb4f88E59487c3102b9C1F', '0xA40007659CcB98A31646436672E3cE0b30D941DF')",6,6
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x21582C6D02E71D38Bfdb4f88E59487c3102b9C1F', '0x7E3b23b6D6B33ddB9Da47b8f5049767290f95899')",6,6
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x068d4E5Ad91B4f451BCa665489aD0ec171435F8d', '0x21582C6D02E71D38Bfdb4f88E59487c3102b9C1F')",6,6
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x21582C6D02E71D38Bfdb4f88E59487c3102b9C1F', '0xFc685Fd277e6C12E0285d9Beb347FEC4AE2931a8')",6,6
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x21582C6D02E71D38Bfdb4f88E59487c3102b9C1F', '0x98fAa0ddC27caFA22ad69353228d8D8D6d7Be2F8')",3,3
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x21582C6D02E71D38Bfdb4f88E59487c3102b9C1F', '0xb8Fa56449d1cFe51426f683C5F574677805DbD12')",3,3
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x21582C6D02E71D38Bfdb4f88E59487c3102b9C1F', '0xbfA95c2D69B5a3E4b2BDeB473A326e31A893b5B7')",3,3
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x21582C6D02E71D38Bfdb4f88E59487c3102b9C1F', '0x429a028322857400Fc2C89afe1019Ac82dF67E73')",3,3
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x712dC15Ed4679fa50987838E614Bf8A35b714A63', '0xc9Af79c6A1f2191D61dA32326388aEe48814173F')",3,3
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x0ccA8b64D999E0cF6e04E55A467F481EdF1f99eC', '0x28Fa530cC4Db079c05B7850e98Aa4442b929A35E')",3,3
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x0B1660298be52C745714378C2B6a450FE8234354', '0x0ccA8b64D999E0cF6e04E55A467F481EdF1f99eC')",3,3
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x0ccA8b64D999E0cF6e04E55A467F481EdF1f99eC', '0x3B8D85D97FB708F58cf73d172f8efE8Ca972fE17')",6,6
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x0ccA8b64D999E0cF6e04E55A467F481EdF1f99eC', '0x8B749C23268D7931D745ac8E35602bcD09a8eB7f')",6,6
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x0ccA8b64D999E0cF6e04E55A467F481EdF1f99eC', '0xe6f7Aed76ceF4f8D71513ad299f5ec0835339c74')",6,6
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x0ccA8b64D999E0cF6e04E55A467F481EdF1f99eC', '0x29bbB92F7858d0A493D890711cABE5F0BCb90796')",6,6
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x0ccA8b64D999E0cF6e04E55A467F481EdF1f99eC', '0xFeCbc325Ea7bd25d7Fb25F2664152c801e3160b1')",6,6
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x0ccA8b64D999E0cF6e04E55A467F481EdF1f99eC', '0x3b748c27b3Ac1BD64aff723A4ef987D0e1ECa668')",6,6
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x0ccA8b64D999E0cF6e04E55A467F481EdF1f99eC', '0xefe73D9cDbcF240f563564b92e3F755B9984AF1e')",3,3
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x0ccA8b64D999E0cF6e04E55A467F481EdF1f99eC', '0xC74376037EA1e7672b928e1B8b66043cdCAd9cc6')",3,3
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x0ccA8b64D999E0cF6e04E55A467F481EdF1f99eC', '0xC10fF4f7dA801a365a75516E9a0763F82333E6F8')",3,3
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x0ccA8b64D999E0cF6e04E55A467F481EdF1f99eC', '0xD81d02aA6f7bd710D6049911cf99BdCFeD0Fe874')",3,3
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x0ccA8b64D999E0cF6e04E55A467F481EdF1f99eC', '0xd087DD9b84459079C8C1509ba36619Ff245b6198')",3,3
